Titulo,Autor,Editorial,Anio,Pais,Prestado
La novia de Sandro,"Sosa, C.",Tusquets Editores,2020,Argentina,No
El caballero de la armadura oxidada,"Fisher, R.",Ediciones Obelisco,1999,España,No
Obra poética completa,"Vallejo, C.",Casa de las Américas,1975,Cuba,No
Cuentos completos 2 (1969-1983),"Cortázar, J.",Alfaguara,2016,Argentina,No
Operación mate amargo: Dax y sus agentes secretos en B.A.,"Ramb, A.",Bitácora Ediciones,2021,Argentina,No
Los lanzallamas,"Arlt, R.",Centro Editor de Cultura,2005,Argentina,No
Los siete locos,"Arlt, R.",Losada,1974,Argentina,No
Del amor y otros demonios,"García, G.",Penguin Random House,2015,Argentina,No
El héroe discreto,"Vargas, M.",Penguin Random House,2015,Argentina,No
Pantaleón y las visitadoras,"Vargas, M.",Círculo de Editores,1974,España,No
Cien años de soledad,"García, G.",Penguin Random House,2016,España,No
Tiempo de abrazar,"Onetti, J.",Club Bruguera,1980,España,No
Juntacadáveres,"Onetti, J.",Planeta,1995,España,No
Museo de la novela de la eterna (primera novela buena),"Fernández, M.",Corregidor,2015,Argentina,No
Adriana Buenos Aires (última novela mala),"Fernández, M.",Corregidor,2018,Argentina,No
Cuentos completos 1 (1945-1966),"Cortázar, J.",Alfaguara,2016,Argentina,No
La caverna,"Saramago, J.",Alfaguara,2010,Uruguay,No
El limonero real,"Saer, J.",Seix Barral,2010,Argentina,No
El juguete rabioso,"Arlt, R.",Club Bruguera,1981,Brasil,No
El Aleph,"Borges, J.",Sudamericana,2016,Argentina,No
El hombre que amaba a los perros,"Padura, L.",Tusquets Editores,2020,Argentina,No
Las malas,"Sosa, C.",Tusquets Editores,2020,Argentina,No
Eisejuaz,"Gallardo, S.",La Biblioteca Argentina,2000,España,No
Eva Luna,"Allende, I.",Penguin Random House,2015,Argentina,No
Bajo este sol tremendo,"Busqued, C.",Anagrama,2021,Argentina,No
1917,"Kohan, M.",Godot,2017,Argentina,No
Ciencias morales,"Kohan, M.",Anagrama,2016,Argentina,No
El río sin orillas,"Saer, J.",Seix Barral,2015,Argentina,No
La ocasión,"Saer, J.",Seix Barral,2019,Argentina,No
Los versos del Capitán,"Neruda, P.",Losada,1969,Argentina,No
La bomba,"Lalana, F. ; Almárcegui, J.",Bruño,1999,España,No
La sombra del gato y otros relatos de terror,"López, C.",Alfaguara,2001,Argentina,No
Ensayo sobre la ceguera,"Saramago, J.",Alfaguara,2018,Argentina,No
La ciudad y los perros,"Vargas, M.",Seix Barral,1994,España,No
Las aventuras de un cadáver,"Stevenson, R.",Edicomunicación,1999,España,No
El proceso,"Kafka, F.",Colihue,2012,Argentina,No
El nombre de la rosa,"Eco, U.",Editorial Lumen,1982,Chile,No
Si una noche de invierno un viajero,"Calvino, I.",Siruela,1999,España,No
Campos roturados I,"Shólojov, M.",Editorial Progreso Moscú,-,Rusia,No
Campos roturados II,"Shólojov, M.",Editorial Progreso Moscú,-,Rusia,No
Recuerdos de la casa de los muertos,"Dostoyevski, F.",Club Bruguera,1981,España,No
Maus,"Spiegelman, A.",Penguin Random House,2014,Argentina,No
Cartero,"Bukowski, C.",Anagrama,2018,España,No
Factótum,"Bukowski, C.",Anagrama,2017,España,No
Tales of ordinary madness,"Bukowski, C.",Virgin Books,2009,Gran Bretaña,No
Adiós a las armas,"Hemingway, E.",Hyspamerica,2001,Argentina,No
El viejo y el mar,"Hemingway, E.",Penguin Random House,2005,Argentina,No
La tercera ola. Volumen 1,"Toffler, A.",Orbis,1986,España,No
Tarántula,"Dylan, B.",Océano,2013,España,No
Blade Runner,"Dick, P.",Edhasa,2010,España,No
Dune,"Herbert, F.",Penguin Random House,2024,Argentina,Si
El mesías de Dune,"Herbert, F.",Penguin Random House,2024,Argentina,No
El perfume,"Süskind, P.",Seix Barral,1990,Argentina,No
Demian,"Hesse, H.",Argonauta,2020,Argentina,No
El lobo estepario,"Hesse, H.",Liburua,2014,México,No
Fuga sin fin,"Roth, J.",Ediciones de la banda oriental,2014,Uruguay,Si
El niño con el pijama de rayas,"Boyne, J.",Salamandra,2012,Argentina,No
El corazón de las tinieblas,"Conrad, J.",Alianza Editorial,1981,España,No
Hambre,"Hamsun, K.",Editores mexicanos unidos,2015,México,No
Secretos imperfectos. Serie Bergman 1,"Hjorth, M. ; Rosenfeldt, H.",Planeta,2020,Argentina,No
Crímenes duplicados. Serie Bergman 2,"Hjorth, M. ; Rosenfeldt, H.",Planeta,2020,Argentina,No
Tokio Blues: Norwegian Wood,"Murakami, H.",Tusquets Editores,2009,Argentina,Si
La ¿nueva? Estructura social de América Latina,"Benza, G. ; Kessler, G.",Siglo XXI,2020,Argentina,No
Escenarios energéticos en América Latina: debates frente al ocaso del capitalismo fósil,Fundación Rosa Luxemburgo,Fundación Rosa Luxemburgo,2024,Argentina,No
Riesgo país: la jerga financiera como mecanismo de poder,"Aronskind, R.",Capital Intelectual,2007,Argentina,No
La economía de las desigualdades: cómo implementar una redistribución justa y eficaz de la riqueza,"Piketty, T.",Siglo XXI,2015,Argentina,No
La nueva pobreza en la Argentina,"Minujín, A. ; Kessler, G.",Planeta,1995,Argentina,No
"Controversias sobre la desigualdad. Argentina, 20003-2013","Kessler, G.",Fondo de Cultura Económica,2014,Argentina,No
Desiguales: una guía para pensar la desigualdad económica,"Gasparini, L.",Edhasa,2022,Argentina,No
Introducción a la economía,"Dobb, M.",Fondo de Cultura Económica,2017,México,No
Pensamiento económico de Manuel Belgrano: selección de artículos del Correo de Comercio 1810-1811,"Belgrano, M.",Manuel Belgrano Ediciones,2021,Argentina,No
Qué es (y qué no es) la estadística: usos y abusos de una disciplina clave en la vida de los países y las personas,"Sosa, W.",Siglo XXI,2014,Argentina,No
Big data: breve manual para conocer la ciencia de datos que ya invadió nuestras vidas,"Sosa, W.",Siglo XXI,2020,Argentina,No
Historia de la sexualidad. 1. La voluntad de saber,"Foucault, M.",Siglo XXI,2020,Argentina,No
Historia de la sexualidad. 4. Las confesiones de la carne,"Foucault, M.",Siglo XXI,2019,Argentina,No
La verdad y las formas jurídicas,"Foucault, M.",Gedisa,2014,Argentina,No
"El origen de la hermenéutica de sí: Conferencias de Dartmouth, 1980","Foucault, M.",Siglo XXI,2016,Argentina,No
Los espantos: estética y postdictadura,"Schwarzböck, S.",Cuarenta Ríos,2018,Argentina,No
Realismo capitalista: ¿No hay alternativa?,"Fisher, M.",Caja Negra,2022,Argentina,No
"Fake news, trolls y otros encantos: cómo funcionan (para bien y para mal) las redes sociales","Calvo, E. ; Aruguete, N.",Siglo XXI,2020,Argentina,No
Las nuevas caras de la derecha: ¿Por qué funcionan las propuestas vacías y el dicurso enfurecido de los antisistema y cuál es su potencial político real?,"Traverso, E.",Siglo XXI,2021,Argentina,No
¿Qué hacemos con Menem?: los noventa veinte años después,"Rodríguez, M. ; Touzon, P.",Siglo XXI,2021,Argentina,No
Los debates de la Dieta Renana,"Marx, K.",Gedisa,2007,España,No
La ética protestante y el espíritu del capitalismo,"Weber, M.",Akal Ediciones,2019,España,No
Sociología de una revolución,"Fanon, F.",Tinta Limón,2024,Argentina,No
Argelia 60: estructuras económicas y estructuras temporales,"Bourdieu, P.",Siglo XXI,2013,Argentina,No
Las estrategias de la reproducción social,"Bourdieu, P.",Siglo XXI,2018,Argentina,No
Los herederos: los estudiantes y la cultura,"Bourdieu, P. ; Passeron, J.",Siglo XXI,2014,Argentina,No
"La época de las pasiones tristes: de cómo este mundo desigual lleva a la frustración y el resentimiento, y desalienta la lucha por una sociedad mejor","Dubet, F.",Siglo XXI,2021,Argentina,No
La filosofía como arma de la revolución,"Althusser, L.",Siglo XXI,2016,México,No
El sublime objeto de la ideología,"Zizek, S.",Siglo XXI,2019,Argentina,No
El príncipe. Discursos sobre la primera década de Tito Livio. La mandrágora. Clicia.,Maquiavelo,Vergara,1961,España,No
"Leviatán. O la materia, forma y poder de una república eclesiástica y civil.","Hobbes, T.",Fondo de Cultura Económica,2017,México,No
El capital. Tomo 1. Volumen 1.,"Marx, K.",Siglo XXI,2015,Argentina,No
El capital. Tomo 1. Volumen 2.,"Marx, K.",Siglo XXI,2016,Argentina,No
El capital. Tomo 1. Volumen 3.,"Marx, K.",Siglo XXI,2016,Argentina,No
Antología. Selección e introducción de Horacio Tarcus.,"Marx, K.",Siglo XXI,2016,Argentina,No
La pesquisa,"Saer, J.",-,-,Argentina,Si
Magnetizado,"Busqued, C.",-,-,Argentina,Si
Antología Poética,"Hernández, M.",-,-,España,No
Dolor país,"Bleichmar, S.",Zorzal,2002,Argentina,No
Cambio de Época,"Svampa, M.",Siglo XXI,-,Argentina,Si
Un mago de Terramar,"Le Guin, U.",-,-,-,Si
Ejemplares únicos,"Rago, P.",Bajo La Luna,-,Argentina,Si
La era de la revolución (1789-1848),"Hobsbawm, E.",Paidós,2020,Argentina,No
La era del capital (1848-1875),"Hobsbawm, E.",Paidós,2020,Argentina,No
La era del imperio (1875-1914),"Hobsbawm, E.",Paidós,2020,Argentina,No
Historia del Siglo XX,"Béjar, M.",Siglo XXI,2018,Argentina,No
Escritos latinoamericanos. En México (1937-1940),"Trostsky, L.",IPS,2013,Argentina,No
La teoría de la revolución permanente,"Trostsky, L.",IPS,2011,Argentina,No
Las venas abiertas de América Latina,"Galeano, E.",Siglo XXI,2012,Argentina,No
Con Trotsky de Prinkipo a Coyoacán: testimonios de siete años de exilio.,"van Heijenoort, J.",IPS,2014,Argentina,No
Diario de una temporada en el quinto piso: episodios de política económica en los años de Alfonsín,"Torre, J.",Edhasa,2024,Argentina,Si
Hermes Binner: primer gobernador socialista de la Argentina. Diálogos.,"Attala, D.",Losada,2011,Argentina,No
Sinceramente,"Fernández, C.",Sudamericana,2019,Argentina,No
Radiografía de la corrupción PRO de la ciudad a la presidencia de la nación,"Maradeo, J. ; Damiani, I.",Planeta,2018,Argentina,No
Nadie vio Matrix,"Graziano, W.",Planeta,2008,Argentina,No
Ezeiza,"Verbitsky, H.",Editorial Contrapunto,1986,Argentina,No
"Obra periodística: crónicas, entrevistas y perfiles 1952-1972","Urondo, F.",Adriana Hidalgo,2013,Argentina,No
Reportaje al pie de la horca,"Fucik, J.",Ediciones Silaba,1978,Argentina,No
Represión franquista en el frente norte,"Roder, J. ; Moreno, J. ; Castrillo, J.",Eneida,2008,España,No
El Estado y la revolución,"Lenin, V.",Sol 90,2012,Argentina,No
Las fuerzas morales,"Ingenieros, J.",Agebe,2006,Argentina,No
El peronismo y el golpe de Estado - 1966,"Cooke, J.",Acción Revolucionaria Socialista,1966,Argentina,No
Sociólog@s para qué? Año 17. Número 12. Abril 2012,El Viejo Topo,El Viejo Topo,2012,Argentina,No
Crisis #62,Crisis,Crisis,2024,Argentina,No
Crisis #63,Crisis,Crisis,2024,Argentina,No
Crisis #64,Crisis,Crisis,2024,Argentina,No
Crisis #65,Crisis,Crisis,2024,Argentina,No
Sarmiento: anecdotario.,"Mortillaro, G.",Editorial Araujo,1938,Argentina,No
Sarmiento y la ley 1420,"Campobassi, J.",Departamento de extensión universitaria de la universidad nacional del litoral,1960,Argentina,No
"Samiento. Sus ideas sobre religión, educación y laicismo. Respuesta a un libro antisarmientista.","Campobassi, J.",Ediciones de la Liga Argentina de Cultura Laica,1963,Argentina,No
Revista del Museo Histórico Sarmiento. Números 12 y 13,Revista del Museo Histórico Sarmiento,Subsecretaría de Cultura,1967,Argentina,No
Obras Completas 47,"Sarmiento, D.",Editorial Luz del Día,1956,Argentina,No
Obras Completas 51,"Sarmiento, D.",Editorial Luz del Día,1956,Argentina,No
Obras Completas 49,"Sarmiento, D.",Editorial Luz del Día,1956,Argentina,No
Obras Completas 52,"Sarmiento, D.",Editorial Luz del Día,1956,Argentina,No
Boletín Sarmiento 2,Órgano del Instituto Sarmiento de Sociología e Historia,Órgano del Instituto Sarmiento de Sociología e Historia,1965,Argentina,No
La peste,"Camus, A.",Sudamericana,1995,España,No
Viajar al futuro (y volver para contarlo). La ciencia detrás de los pronósticos.,"Sosa, W.",Siglo XXI,2024,Argentina,Si
Macroeconomía,"Blanchard, O.",Pearson,2025,Argentina,No
High Inflation,"Heymann, D. ; Leijonhufvud, A.",Clarendon Express - Oxford,2024,Argentina,No
Argentina Humana: Teoría y práctica para la justicia social en el siglo XXI. Un proyecto contracultural.,"Grabois, J.",Sudamericana,2024,Argentina,Si
Pandemia: un balance social y político de la crisis del COVID-19,"Feierstein, D.",Fondo de Cultura Económica,2021,Argentina,No
De alemanes a nazis (1914-1933),"Fritzsche, P.",Siglo XXI,2022,Argentina,No
Bourdieu hoy,Varios,Aurelia Rivera Libros,2021,Argentina,No
El contrato social,"Rousseau, J.",Casa Editorial Maucci,?,España,No
"Borges, Big Data y Yo","Sosa, W.",Siglo XXI,2021,Argentina,No
"H-Industria: Revista de historia de la industria, los servicios y las empresas en América Latina. Nros 4-5. Año III",FCE-UBA,FCE-UBA,2003,Argentina,No
El genocidio como práctica social,"Feierstein, D.",Fondo de Cultura Económica,2023,Argentina,No
Identity Economics,"Akerlof, G: ; Kranton, R.",Princeton University Press,2010,EEUU,No
Crisis #66,Crisis,Crisis,2025,Argentina,No
Crisis #67,Crisis,Crisis,2025,Argentina,No
Estudios sobre los orígenes del peronismo,"Murmis, M. ;Portantiero, J.",Siglo XXI,2018,Argentina,No
La sociedad cortesana,"Elías, N.",Fondo de Cultura Económica,2016,México,No
Social and behavioural macroeconomics. Theoretical and policy perspectives,"Tsoukis, C. ; Tournemaine, F. ; Driffill, E.",Palgrave Macmillan,2025,Suiza,No
Orgullo y prejuicio,"Austen, J.",Edimat,2019,España,No
Los libros de Terramar II. Las tumbas de Atuan.,"Le Guin, U.",Minotauro,2000,España,Si
Los libros de Terramar II. Las costa más lejana.,"Le Guin, U.",Minotauro,2004,Argentina,Si
"La era del hartazgo. Líderes disruptivos, polarización y antipolítica en América Latina.","Kessler, G.; Vommaro; G.",Siglo XXI,2025,Argentina,No
La alienación como fractura lógica y ontológica en la ecología del capital: sobre el abordaje marxista de la crisis climática.,"Ramella, M.",FFyL-UBA,2025,Argentina,No
Crisis de la dictadura argentina. Política económica y cambio social (1976-1983),"Jozami, E. ; Paz, P. ; Villareal, J.",Siglo XXI,1985,Argentina,No
El asalto al cielo,"Jacoby, R.",Mansalva,2014,Argentina,No
Borges por Piglia,"Piglia, R.",Eterna Cadencia Editora,2024,Argentina,No
Niebla,"Unamuno, M.",Ediciones del Viento,2014,España,No
Consideraciones sobre el marxismo occidental,"Anderons, P.",Siglo XXI,2021,México,No
"Melancolía de izquierda. Marxismo, historia y memoria.","Traverso, E.",Fondo de Cultura Económica,2018,Argentina,No
El eternauta,"Oesterheld, H. ; Solano, F.",Planeta,2025,Argentina,No
El infinito en un junco. La invención de los libros en el mundo antiguo.,"Vallejo, I.",Penguin Random House,2022,España,No
El secreto atómico de Huemul. Crónica del origen de la energía atómica en Argentina.,"Mariscotti, M.",Lenguaje Claro Editora,2016,Argentina,Si
Crisis #68,Crisis,Crisis,2025,Argentina,No
Crisis #69,Crisis,Crisis,2025,Argentina,No
El perjuirio de la nieve,"Bioy, A.",Colihue,2011,Argentina,No
Las estructuras sociales de la economía,"Bourdieu, P.",Manantial,2001,Argentina,No
"Entre la equidad y el crecimiento. Ascenso y caída de la economía argentina, 1880-2002.","Llach, L. ; Gerchunoff, P.",Siglo XXI,2004,Argentina,No
Exilio,"Gelman, J. ; Bayer, O.",Legasa,1984,Argentina,No
Operación Masacre,"Walsh, R.",Ediciones de la Flor,1972,Argentina,No
Perón por Perón. Los más importantes discursos y mensajes 1943-1973.,"Del Río, A.",Kikiyón,1972,Argentina,No
Perón - Perón. 1973-1976.,"Di Tella, G.",Sudamericana,1983,Argentina,No
El loro de Flaubert,"Barnes, J.",Anagrama,2013,Argentina,No
La ridícula idea de no volver a verte,"Montero, R.",Seix Barral,2013,Argentina,No
La insoportable levedad del ser,"Kundera, M.",Tusquets Editores,2007,Argentina,No
La muerte de la familia,"Cooper, D.",Planeta,1986,España,No
Crisis #70,Crisis,Crisis,2025,Argentina,No
El hombre mediocre,"Ingenieros, J.",Losada,1997,Argentina,No
Perestroika. Nuvas ideas para nuestro país y el mundo.,"Gorbachov, M.",Emecé,1998,Argentina,No
Sociología de Marx,"Lefebvre, H.",Editorial Eureka,1970,Uruguay,No
Modernidad Líquida,"Bauman, Z.",Fondo de Cultura Económica,2015,Argentina,No
Adán Buenosayres,"Marechal, L.",Clarín,2000,España,No
La sangre derramada. Ensayo sobre la violencia política.,"Feinmann, J.",Ariel,1999,Argentina,No
El jefe. Vida y obra de Carlos Saúl Menem.,"Cerruti, G.",Planeta,1993,Argentina,No
Cantar del Cid,"Menéndez, R. ; Reyes, A.",ESPASA-CALPE,1976,España,No
Meditaciones metafísicas,"Descartes, R.",Aguilar,1970,Argentina,No
El ciclo de la revolución contemporánea,"Romero, J.",Editorial Huemul,1980,Argentina,No
El marxismo de indias,"Abelardo, J.",Planeta,1973,España,No
"1940-1975 Gran Bretaña, Estados Unidos y las clases dirigentes argentinas.","Rapoport, M.",Editorial de Belgrano,1980,Argentina,No
Lecciones de octubre. ¿Qué fue la revolución rusa?,"Trostsky, L.",El Yunque Editora,1975,Argentina,No
Radiografía de la Pampa,"Martínez, E.",Hyspamerica,1986,Argentina,No
"Las nuevas sociologías. Principales corrientes y debates, 1980-2010.","Corcuff, P.",Siglo XXI,2013,Argentina,No
Una invitación a la sociología reflexiva,"Bourdieu, P.",Siglo XXI,,Argentina,No
Revista Realidad Económica #200,IADE,IADE,2003,Argentina,No
Revista Realidad Económica #242,IADE,IADE,2009,Argentina,No
Revista Realidad Económica #245,IADE,IADE,2009,Argentina,No
Revista Realidad Económica #251,IADE,IADE,2010,Argentina,No
Revista Realidad Económica #259,IADE,IADE,2011,Argentina,No
Revista Desarrollo Económico vol 53 #209-210,IDES,IDES,2013,Argentina,No
Revista Desarrollo Económico vol 50 #199,IDES,IDES,2010,Argentina,No
Revista Desarrollo Económico vol 25 #99,IDES,IDES,1985,Argentina,No
Revista Desarrollo Económico vol 18 #70,IDES,IDES,1978,Argentina,No
Revista Desarrollo Económico vol 6 #22-23,IDES,IDES,1966,Argentina,No
Revista Desarrollo Económico vol 3 #1-2,IDES,IDES,1963,Argentina,No
Experiencia mexicana en aceleradores de partículas,"De la Paz, M.",Siglo XXI,2004,México,No
Tendencia y ciclo en economía. Teoría y evidencia empírica.,"Mendoza, G.",UNAM,2015,México,No
Bartleby. El escribiente (adaptación).,"Molina, E.",Latino Toons,2024,México,No
Herbert West: reanimador (adaptación).,"Molina, E.",Latino Toons,2023,México,No
Economía Informa #451,FEUNAM,UNAM,2025,México,No
Crisis política y guerra en El Salvador,"Gordon, S.",Siglo XXI,1989,México,No
Teoría de juegos. Una introducción matemática a la toma de decisiones.,"Amster, P. ; Pinasco, J.",Fondo de Cultura Económica,2014,México,No
La cara esférica,"Pérez-Reverte, A.",Alfaguara,2000,España,No
La crisis económica en América Latina. Alcances e impactos.,"Machinea, J.",Siglo XXI,2010,España,No
Por quién doblan las campanas,"Hemingway, E.",Epoca,-,México,No
El llano en llamas,"Rulfo, J.",Fondo de Cultura Económica,1975,México,No
La velocidad de la luz,"Cercas, J.",Penguin Random House,2015,México,Si
La gran transformación. Los orígenes políticos y económicos de nuestro tiempo.,"Polanyi, K.",Fondo de Cultura Económica,2017,México,No
"Brasil, 2000. Hacia un nuevo pacto social.","Jaguaribe, H. ; dos Santos, W. ; de Paiva Abreu, M. ; Fritsch, W. ; Bastos de Ávila, F.",Fondo de Cultura Económica,1989,México,No
El mago del Kremlin,"da Empoli, G.",Seix Barral,2023,México,No
El infierno tan temido y otros cuentos,"Onetti, J.",Fondo de Cultura Económica,2025,México,Si
Geografías,"Benedetti, M.",Fondo de Cultura Económica,2025,México,No
La guerra de los mundos,"Wells, H.",Mirlo Ediciones,2024,China,No
El extraño caso del Dr. Jekyll y Mr. Hyde,"Stevenson, R. L.",Mirlo Ediciones,2025,China,No
Soldados de Salamina,"Cercas, J.",Penguin Random House,2017,México,No
Barbarie. Seminario Didáctica.,"Glazman, R.",FFL UNAM,2016,México,No
"Estado, poder y socialismo","Poulantzas, N.",Siglo XXI,1980,España,No
La edad media,"Romero, J. L.",Fondo de Cultura Económica,2025,México,No
"De paganos, judíos y cristianos","Momigliano, A.",Fondo de Cultura Económica,2025,México,No
Filosofía de la liberación,"Dussel, E.",Fondo de Cultura Económica,2025,México,No
"I, Claudius","Graves, R.",Penguin Random House,1961,EEUU,No
Fouché. El genio tenebroso.,"Zweig, S.",Editorial Época,2008,México,No
Sandokan: La mujer pirata.,"Salgari, E.",Editorial Porrúa,1988,México,No
Brida,"Coelho, P.",Grijalbo,2004,México,No
En la Patagonia,"Chatwin, B.",Quinteto,2002,España,Si
Patagonia Express,"Sepúlveda, L.",Tusquets Editores,1996,México,No
"El laberinto de la soledad. Postdata. Vuelta a ""El laberinto de la soledad"".","Paz, O.",Fondo de Cultura Económica,2004,México,No
El señor de Bembibre. El lago de Carucedo. Artículos de costumbres.,"Gil y Carrasco, E.",Editorial Porrúa,1984,México,No
La teoría del crecimiento equilibrado,"Dixit, A. K.",Fondo de Cultura Económica,1987,México,No
Teoría y experiencia del desarrollo económico,"Gersovitz, M. ; Díaz-Alejandro, C. F. ; Ranis, G. ; Rosenzweig, M. R.",Fondo de Cultura Económica,1985,México,No
Teoría económica en retrospección,"Blaug, M.",Fondo de Cultura Económica,2001,México,No
La promesa de la privatización. Un desafío para la política exterior de los Estados Unidos.,"Vernon, R.",Fondo de Cultura Económica,1995,Chile,No
Los mercaderes y el capitalismo en México (1759-1778).,"Borchart de Moreno, C. R.",Fondo de Cultura Económica,1984,México,No
Los detectives salvajes,"Bolaño, R.",Penguin Random House,2025,México,Si
El Capital. Libro I Capítulo VI (inédito). Resultados del proceso inmediato de producción.,"Marx, K.",Siglo XXI,2019,México,No
Retornamos como sombras,"Taibo II, P. I.",Planeta,2020,México,No
"Behemoth. Violencia colectiva, política y criminal en el México contemporáneo.","Estrada Saavedra, M.",El Colegio de México,2025,México,No
Che Guevara: Instantáneas flashes momentos.,"Taibo II, P. I.",Utopix,2022,México,No
En los ojos de los gatos,"Rentería, E.",Tusquets Editores,2008,México,No
El evangelio según Jesucristo,"Saramago, J.",Alfaguara,2019,México,No
El loco de Dios en el fin del mundo,"Cercas, J.",Penguin Random House,2025,México,No
Tres novelas exóticas,"Rey Rosa, R.",Alfaguara,2016,México,No
El trimestre económico. Enero - Marzo de 2026 #369,Fondo de Cultura Económica,Fondo de Cultura Económica,2026,México,No
La Isla de la Pasión,"Restrepo, L.",Alfaguara,2015,México,No
Elogio de la educación,"Vargas Llosa, M.",Taurus,2025,México,No
Civilización y barbarie,"Samiento, D. F.",CONACULTA,2013,México,No
La muerte de Tyrone Power en el Monumental del Barcelona,"Donoso Pareja, M.",Fondo de Cultura Económica,2025,México,No
Nueve noches con Violeta del Río (ilustrado por Edu Molina),"Padura, L.",Fondo de Cultura Económica,2022,México,No
Men at War,"Hemingway, E.",Wing Books,1991,EEUU,No
Santa Evita,"Martínez, T. E.",Planeta,1997,México,No
La novela de Perón,"Martínez, T. E.",Planeta,1996,México,No
Todos los cuentos,"Urondo, F.",Adriana Hidalgo Editora,2011,Argentina,No
Poder político y clases sociales en el Estado capitalista,"Poulantzas, N.",Siglo XXI,1997,México,No
El sefardí romántico,"Muñiz-Huberman, A.",Penguin Random House,,,No
